Repo Name,Repo ID,Type,Action,User Type,Merged,State,Changed Files,Deletions,Additions,Review Comments,Author Association,Star Score,Follower Score,Community Score
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,21,402,575,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,21,402,575,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,300,785,19235,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,300,785,19235,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,12,36,76,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,12,36,76,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,5,37,32,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,5,37,32,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,350,941,20304,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,350,941,20304,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,3,45,44,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2367,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2367,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2367,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2367,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2367,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2367,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,45,12,2374,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,14,45,870,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,14,45,870,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,474,2653,27969,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,474,2653,27969,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,9,393,19,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,9,393,19,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,12,48,620,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,12,48,620,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,18,18,94,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,18,18,94,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,10,13,21,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,10,13,21,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,43,174,798,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,43,174,798,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,362,5017,22033,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,362,5017,22033,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,2,2,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,2,2,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,112,813,2803,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,15,54,88,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,15,54,88,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,6,34,54,0,CONTRIBUTOR,10051,74,6
