Repo Name,Repo ID,Type,Action,User Type,Merged,State,Changed Files,Deletions,Additions,Review Comments,Author Association,Star Score,Follower Score,Community Score
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,True,closed,2,3,3,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,True,closed,2,3,3,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,True,closed,1,9,9,0,OWNER,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,True,closed,1,9,9,0,OWNER,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,False,closed,1,0,2,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,False,closed,1,0,2,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,opened,User,False,open,7,2,41,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,False,closed,1,1,1,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,closed,User,False,closed,1,1,1,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,opened,User,False,open,1,18,43,0,NONE,5721,71,6
spdustin/ChatGPT-AutoExpert,698029053,PullRequestEvent,opened,User,False,open,1,29,35,0,NONE,5721,71,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,7,38,224,2,CONTRIBUTOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,7,38,224,2,CONTRIBUTOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,3,19,30,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,3,19,30,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,False,closed,1,2,2,0,NONE,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,False,closed,1,2,2,0,NONE,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,0,4,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,0,4,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,2,6,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,2,6,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,2,30,161,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,2,30,161,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,0,2,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,0,2,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,opened,User,False,open,6,4,58,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,opened,User,False,open,6,4,58,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,2,0,53,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,2,0,53,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,2,2,4,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,2,2,4,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,1,2,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,1,2,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,0,4,0,COLLABORATOR,5506,56,6
Shaunwei/RealChar,658949840,PullRequestEvent,closed,User,True,closed,1,0,4,0,COLLABORATOR,5506,56,6
